country_slug,country_name,country_code,productivity,productivity_reference_date,labor_tax_rate_percent,labor_tax_reference_date
austria,Austria,AT,105.71,2025-09-30,55.0,
belgium,Belgium,BE,104.96,2025-09-30,50.0,
bulgaria,Bulgaria,BG,129.0,2025-09-30,10.0,
cyprus,Cyprus,CY,117.18,2025-09-30,35.0,
czech-republic,Czech Republic,CZ,108.78,2025-09-30,23.0,
denmark,Denmark,DK,113.9,2025-09-30,55.9,
estonia,Estonia,EE,116.25,2025-09-30,22.0,
finland,Finland,FI,103.78,2025-12-31,57.65,
france,France,FR,101.16,2025-09-30,45.0,
greece,Greece,GR,101.33,2025-09-30,44.0,
hungary,Hungary,HU,117.78,2025-09-30,15.0,
ireland,Ireland,IE,144.71,2025-09-30,40.0,
italy,Italy,IT,97.91,2025-09-30,45.0,
latvia,Latvia,LV,122.55,2025-09-30,36.0,
lithuania,Lithuania,LT,122.63,2025-09-30,32.0,
luxembourg,Luxembourg,LU,96.78,2025-09-30,42.0,
malta,Malta,MT,112.44,2025-09-30,35.0,
netherlands,Netherlands,NL,104.28,2025-12-31,49.5,
poland,Poland,PL,134.16,2025-09-30,32.0,
portugal,Portugal,PT,103.06,2025-09-30,48.0,
romania,Romania,RO,135.92,2025-09-30,10.0,
slovakia,Slovakia,SK,122.41,2025-09-30,35.0,
slovenia,Slovenia,SI,117.09,2025-12-31,50.0,
spain,Spain,ES,103.2,2025-12-31,47.0,
sweden,Sweden,SE,107.28,2025-09-30,52.0,
